NCT Number,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures;;;;;;;;;;;;
"NCT04440449,""Frailty Scale Using Fried's Phenotype Method Based on Five Frailty Characteristics, 1. Self-reported (SR) exhaustion (Y/N ) on Center for Epidemiologic Studies Depression (CES-D) scale: """"Do you feel full of energy?"""" """"No"""" scored a 1 (exhausted).";;;;;;;;;;;;
"2. SR unintentional weight loss: """"In the last year, have you lost more than 10 pounds unintentionally?"""". """"Yes"""" scored a 1.";;;;;;;;;;;;
3. SR physical activity over the last year using the Minnesota Leisure Time Activity Questionnaire, (energy expenditure in kcal/week, standardized for sex). The lowest quintile for each sex group received a score of 1;;;;;;;;;;;;
4. Grip strength measured (Kg) with a dynamometer in the dominant hand, standardized using body mass index quartiles and sex. The average of 3 trials was recorded. The lowest quintile for each sex group received a score of 1 (for weak).;;;;;;;;;;;;
"5. 10 feet walked at usual pace, standardized based on height and sex. The fastest of 2 trials was recorded. Participants in the lowest quintile for each sex group were considered slow (score =1) A higher scale score from 0-5 indicates greater frailty, Baseline to 6 months"",""Glycated Hemoglobin (HbA1c), Change in HbA1c measured over the study period, Baseline to 6 months|Short Physical Performance Battery (SPPB) Balance, The balance test assesses a person's ability to stand with the feet together in side-by-side, semi-tandem, and full-tandem positions for 10 seconds each, responses ranging between 0-4 with a higher score indicating better balance. Three balance tests are performed and scoring is as follows:";;;;;;;;;;;;
;;;;;;;;;;;;
Side-by-side stand: person attempts to stand with feet together, side-by-side, for 10 seconds.;;;;;;;;;;;;
;;;;;;;;;;;;
* 1 point if held for 10 seconds;;;;;;;;;;;;
* 0 points if not held for 10 seconds or not attempted Semi-tandem stand: person attempts to stand with the side of the heel of one foot touching the big toe of the other foot for 10 seconds.;;;;;;;;;;;;
* 1 point if held for 10 seconds;;;;;;;;;;;;
* 0 points if not held for 10 seconds or not attempted Tandem stand: person attempts to stand with the heel of one foot in front of and touching the toes of the other foot for about 10 seconds.;;;;;;;;;;;;
* 2 points if held for 10 seconds;;;;;;;;;;;;
* 1 point if held for 3 to 9.99 seconds;;;;;;;;;;;;
* 0 points if held for \<3 seconds or not attempted, Baseline to 6 months|SPPB Gait Speed, Gait speed at a 4-meter walk is timed in seconds as participants walk at their usual pace. Two trials were administered, time (in seconds) was recorded for each trial. The fastest walk of two trials was recorded. Score is recorded between 0-4 with a higher score indicating a faster gait speed. Scoring is as follows:;;;;;;;;;;;;
;;;;;;;;;;;;
* 0 points if unable to do the walk;;;;;;;;;;;;
* 1 point if time is more than 8.70 sec;;;;;;;;;;;;
* 2 points if time is 6.21 to 8.70 sec;;;;;;;;;;;;
* 3 points if time is 4.82 to 6.20 sec;;;;;;;;;;;;
* 4 points if time is less than 4.82 sec, Baseline to 6 months|SPPB Chair Stands, Chair stand represents the time to complete five chair rises, sit to stand from a chair, as quickly as possible, without using hands, responses ranging between 0-4. Scoring is as follows:;;;;;;;;;;;;
;;;;;;;;;;;;
* 0 points if unable to complete 5 chair stands or completes stands in \>60 seconds;;;;;;;;;;;;
* 1 point if chair stand time is 16.70 sec or more;;;;;;;;;;;;
* 2 points if chair stand time is 13.70 to 16.69 sec or more;;;;;;;;;;;;
* 3 points if chair stand time is 11.20 to 13.69 sec;;;;;;;;;;;;
"* 4 points if chair stand time is 11.19 sec or less, Baseline to 6 months"",";;;;;;;;;;;;
"NCT02079805,""Change in Insulin Resistance Index (HOMA-R) From Baseline at the End of the Treatment Period (Week 12), Change from the start of the treatment period (baseline) at the end of the treatment period (Week 12) was reported. Insulin Resistance Index (HOMA-R) measures insulin resistance, calculated by fasting insulin (μU/mL) multiplied by fasting glucose (mg/dL), and divided by a constant (405)., Baseline and Week 12"",""Change in Fasting Blood Glucose From Baseline at the End of the Treatment Period (Week 12), Change from baseline in fasting blood glucose values collected at week 12 or final visit relative to baseline was reported., Baseline and Week 12|Change in Fasting Insulin From Baseline at the End of the Treatment Period (Week 12), Change from baseline in fasting insulin values collected at week 12 or final visit relative to baseline was reported., Baseline and Week 12|Change in Glycosylated Hemoglobin (HbA1c) From Baseline at the End of the Treatment Period (Week 12), Change from baseline in the values of glycosylated hemoglobin (the concentration of glucose bound to hemoglobin as a percent of the absolute maximum that can be bound) collected at week 12 or final visit relative to baseline was reported., Baseline and Week 12|Change in Homeostasis Model Assessment of Beta Cell Function (HOMA-β) From Baseline at the End of the Treatment Period (Week 12), Change from baseline in HOMA-β collected at week 12 or final visit relative to baseline was reported. Homeostasis model assessment of beta cell function measures as following";" HOMA-β = fasting insulin (μU/mL) ×360/{fasting glucose (mg/dL) - 63}., Baseline and Week 12|Change in 1,5-anhydroglucitol (1,5-AG) From Baseline at the End of the Treatment Period (Week 12), Change from baseline in 1,5-G concentration collected at week 12 or final visit relative to baseline was reported., Baseline and Week 12|Number of Participants With Treatment-Emergent Adverse Events, Up to Week 12"",";;;;;;;;;;;
"NCT02387749,""Measurement of b-FGF, v-EGF MEASURED BY ELISA, measurement of b-FGF and v-EGF MEASURED BY ELISA before (at zero), and after at (7 days, 90) days after stem cell transfusion to measure the effect of stem cell and its role in nerve regeneration, zero ( before) , 7 DAYS, 90 days|Change of Nerve Conduction Velocities of Nerves Affected Measured by Nerve Conduction Study., Measuring nerve conduction velocities(NCV) in m/sec upper and lower limbs nerves(sensory and motor) lower limb nerves : tibial , common peroneal(CP) as motor and sural nerve as sensory upper limb nerves: ulnar nerve as motor and sensory and compare at base line(zero day) and 90 days after stem cells transfusion, base line(zero dya), 90 days after stem cells transfusion.|Change of Nerve Conduction Latency of Nerves Affected Measured by Nerve Conduction Study, Measuring nerve conduction latency in msec of upper and lower limbs nerves(sensory and motor) lower limb nerves : tibial , common peroneal(CP) as motor and sural nerve as sensory upper limb nerves: ulnar nerve as motor and sensory and compare at base line and 90 days after stem cells transfusion, base line(zero dya), 90 days after stem cells transfusion .|Change of Nerve Conduction Amplitude of Nerves Affected Measured by Nerve Conduction Study., Measuring nerve conduction amplitudes in uv of upper and lower limbs nerves(sensory and motor).";;;;;;;;;;;;
;;;;;;;;;;;;
lower limb nerves : tibial , common peroneal(CP) as motor and sural nerve as sensory .;;;;;;;;;;;;
;;;;;;;;;;;;
"upper limb nerves: ulnar nerve as motor and sensory. and compare at base line and 90 days after stem cells transfusion, base line(zero dya), 90 days after stem cells transfusion"",""Change of Levels of Fasting Blood Sugar and 2 Hours Post Prandial at Base Line ( Zero Day ) and After (90 Days) After Stem Cells Transfusion, fasting, 2 hours postprandial blood sugar measurement before at base line (zero day) and after (90 days) stem cells transfusion as a follow up and comparing the values., base line (zero day) and 90 days after stem cells transfusion|Change of Levels of Glycated Haemoglobin( HA1C) After Stem Cells Transfusion Measured in Percent %, Blood tests before and after stem cells(90 days) transfusion and comparing the values in percent % which is reflecting the patient blood sugar control in the previous 3 months, at base line (zero day) and 90 days after stem cells transfusion"",";;;;;;;;;;;;
"NCT01512849,""Effect of Renal Function on Maximum Plasma Concentration of TA-7284, For 72 hours after each administration|Effect of Renal Function on Area Under the Plasma Concentration-time Curve From Zero up to Infinity of TA-7284, For 72 hours after each administration|Effect of Renal Function on Urinary Glucose Excretion of TA-7284, For 24 hours after each administration|Effect of Renal Function on Percent Inhibition of Renal Glucose Reabsorption (RGR) of TA-7284, The percent inhibition of renal glucose reabsorption was calculated from renal glucose reabsorption (eGFR × plasma glucose AUC - urinary glucose excretion) on the preceding day and on the day of administration., For 24 hours after each administration"",""Adverse Events, Incidence and severity of AEs, Upto approximately 14 days after last administration|12-lead Electrocardiogram (ECG), Change from baseline in ECG parameters, For 72 hours after each administration|Vital Signs, Change from baseline in Vital signs (BP, PR and BT), For 72 hours after each administration|Clinical Laboratory Tests, Change from baseline in Clinical laboratory tests, For 72 hours after each administration"",";;;;;;;;;;;;
"NCT00598663,""HbA1c at 6 Month, The end of period difference in HbA1c after 6 months of treatment, 6 months"",""Glycemic Variability, 24 h SD of glucose values (mg/dl), 6 months|Number of Severe Hypoglycemia Events, 6 months|Daily Min Spent in Euglycaemia (3.9-10.0 mmol/l), 6 months|Postprandial Glycaemia, Breakfast Postprandial glycaemia, 6 months|Pediatric Quality of Life Inventory (Vers 4.0"; PedsQL), This questionnaire is a validated assessment of health-related quality of life in children developed by J.W. Varni, (1998).;;;;;;;;;;;
;;;;;;;;;;;;
"Scores are transformed on a scale from 0 to 100. higher values represent a better outcome, 6 months|Diabetic Ketoacidosis Events, A diabetic ketoacidosis event (DKE) is defined as a hyperglycemia (blood glucose \>250 mg/dL) with either low serum bicarbonate (\<15 mEq/L) and/or low pH (\<7.3) and either ketonemia or ketonuria and requiring treatment within a health-care facility., 6 months"",";;;;;;;;;;;;
"NCT02280863,""Count of Participants With no More Than One Meter Glucose Value <50 mg/dL and no Values <40 mg/dL, no More Than Two Episodes With Meter Glucose Values Remaining >300 mg/dL for More Than 1 Hour, and no Ketonemia, Seizures, or Loss of Consciousness, Our definition of a subject successfully participating in a cohort is:";;;;;;;;;;;;
;;;;;;;;;;;;
1. No more than one meter glucose value \<50 mg/dL and no values \<40 mg/dL;;;;;;;;;;;;
2. No more than two episodes with meter glucose values remaining \>300 mg/dL for more than 1 hour that are unrelated to an infusion set failure;;;;;;;;;;;;
3. No ketonemia \>1.0 mmol/L, while the system is functional unless related to an intercurrent illness or infusion set failure;;;;;;;;;;;;
"4. No seizures or loss of consciousness while system is on and functional, Up to 10 days"",""Mean Glucose Values, Mean glucose values are reported as assessed by continuous glucose monitoring (CGM";" subcutaneous sensor, day and night values)., Up to 10 days|Mean Glucose Values, Fingerstick Glucose Meter Value, Adult Cohorts, Mean glucose values are reported as assessed by fingerstick glucose meter value., Up to 10 days|Median Glucose Values, Fingerstick Glucose Meter Value, Adolescent Cohort, Median an glucose values are reported as assessed by fingerstick glucose meter value., Up to 10 days|Percentage of Time Within Glucose Range of 70-180 mg/dL, Up to 10 days|Percentage of Fingerstick Meter Glucose Value Tests <70 mg/dL, Up to 10 days|Percentage of Time With Sensor Glucose Values <70 mg/DL, Adult Cohorts, Up to 10 days|Percentage of Time With Sensor Glucose Values <70 mg/DL, Adolescent Cohort, Up to 10 days|Percentage of Fingerstick Meter Glucose Value Tests >300 mg/dL, Adult Cohort - Medtronic Android Interface, Up to 10 days|Percentage of Fingerstick Meter Glucose Value Tests >300 mg/dL, Adult Cohort - Integrated System Interface and Adolescent Cohort, Up to 10 days"",";;;;;;;;;;;
"NCT03238963,""Percentage of Participants With Any Ocular Adverse Events Over the On-treatment Period, Percentage of participants with any ocular adverse events over the on-treatment period was reported., On-treatment period: from first dose of study drug until end of follow-up period, up to 24 weeks."",""Percentage of Participants With at Least 2 Steps Improvement From Baseline in the Study Eye on the Diabetic Retinopathy Severity Scale (DRSS) at Week 12, 7-field or modified 4-field digital fundus photographs was obtained from both eyes by a qualified person according to the imaging manual to collect all data for the assessment of the Early Treatment Diabetic Retinopathy Study (ETDRS) Diabetic Retinopathy Severity Scale (DRSS). The images was sent to the independent central reading center who performs the grading on the basis of the DRSS. The DRSS ranges from level 10 (Diabetic retinopathy absent) to level 85 (advanced proliferative Diabetic retinopathy)., At baseline and at Week 12.|Percentage of Participants With Adverse Events Other Than Ocular Adverse Events Over On-treatment Period, Percentage of participants with adverse events other than ocular adverse events over on-treatment period was reported., On-treatment period: from first dose of study drug until end of follow-up period, up to 24 weeks."",";;;;;;;;;;;;
"NCT02969863,""Percentage of Time Spent With Dexcom CGMG < 60 mg/dl, A measure of hypoglycemia capturing amount of time the continuous glucose monitor is reading less than 60 mg/dl, days 2-7"",,";;;;;;;;;;;;
"NCT01854593,""Reoperation, Vitreoretinal reoperation due to recurrent vitreous hemorrhage., 1 month"",""Intra Operative Hemorrhage, Calculate the number of coagulators for the intra operative hemorrhage., End of the surgery.|Postoperative Vitreous Hemorrhage., Postoperative vitreous hemorrhage that is permitted within 4 weeks after surgery., 1 month|Vascular Endothelial Growth Factor Concentration in Vitreous, Vascular endothelial growth factor concentration in vitreous at the start of vitrectomy., Start of surgery.|Endolaser Photocoagulation, Number of intraoperative endolaser photocoagulation., End of surgery.|Iatrogenic Retinal Tears, The number of participants who had intraoperative iatrogenic retinal tears., End of surgery.|Surgical Time, End of surgery.|Postoperative Best Corrected Visual Acuity, Best corrected visual acuity was measured using the Landolt ring chart, and the result was converted to logMAR notation for analysis.";;;;;;;;;;;;
;;;;;;;;;;;;
The minimum of the scale is 2.0 and the maximum of the scale is -0.3. The higher values represent a worse outcome., 1 mouth after surgery.|Best Corrected Visual Acuity Change, Best corrected visual acuity change was calculated by postoperative logMAR visual acuity minus preoperative logMAR visual acuity.;;;;;;;;;;;;
;;;;;;;;;;;;
"The higher values represent a worse outcome., 1 month|Postoperative Neovascular Glaucoma, The number of participants with progressive or persistent neovascular glaucoma after surgery., Within 1 month after the surgery.|Elevated Intraocular Pressure, The number of participants with elevated intraocular pressure after surgery., Within 1 month after the surgery.|Gas Tamponade, The number of participants with gas tamponade at the end of the surgery., End of surgery.|Silicon Oil Tamponade, The number of participants with silicon oil tamponade at the end of the surgery., End of surgery."",";;;;;;;;;;;;
"NCT02725593,""Adjusted Change From Baseline in Glycated Haemoglobin (HbA1c) at Week 24, Baseline to Week 24"",""Adjusted Change From Baseline in Fasting Plasma Glucose (FPG) at Week 24, Baseline to Week 24|Percentage of Participants Who Required Glycemic Rescue Medication or Permanently Discontinued Treatment Due to Lack of Glycemic Control, Baseline to Week 24|Percentage of Participants With Baseline Glycated Haemoglobin (HbA1c) >= 7% Who Achieved HbA1c Level < 7% at Week 24, Baseline to Week 24"",";;;;;;;;;;;;
"NCT05130593,""Palatability of Bar, Participants were asked to rate the bar on a visual analog scale to indicate their impression of its visual appearance, smell, taste, texture, aftertaste, and overall pleasantness. The scale range for each attribute is 0-100 with higher scores equating to a better outcome., Test Day (immediately after taste-testing the bar)"",""Levels of Plasma BIoactive (DMC-2) Before and After Ingestion of a Bar Containing PMI-5011/Nutrasorb., Participants consumed a bar containing PMI-5011 and Nutrasorb and had blood samples drawn for measurement of DMC-2. Nutrasorb bar: 250 kcal bar containing 30 g of PMI-5011/Nutrasorb (120 kcal), 20 g fat (100 kcal), and 30 kcal from carbohydrate and flavorings, 10 minutes pre-consumption, immediately post-consumption, and 30, 60, 120, and 180 minutes post-consumption|Levels of Serum Glucose Before and After Ingestion of a Bar Containing PMI-5011/Nutrasorb., Participants consumed a bar containing PMI-5011 and Nutrasorb and had blood samples drawn for measurement of safety parameters (glucose). Nutrasorb bar: 250 kcal bar containing 30 g of 5011-Nutrasorb (120 kcal), 20 g fat (100 kcal), and 30 kcal from carbohydrate and flavorings, 10 minutes pre-consumption, immediately post-consumption, and 30, 60, 120, and 180 minutes post-consumption|Measurement of Blood Levels of Serum Insulin Before and After Ingestion of a Bar Containing PMI-5011/Nutrasorb., Participants consumed a bar containing PMI-5011 and Nutrasorb and had blood samples drawn for measurement of safety parameters (insulin). Nutrasorb bar: 250 kcal bar containing 30 g of 5011-Nutrasorb (120 kcal), 20 g fat (100 kcal), and 30 kcal from carbohydrate and flavorings, 10 minutes pre-consumption, immediately post-consumption, and 30, 60, 120, and 180 minutes post-consumption"",";;;;;;;;;;;;
"NCT01217463,""Wound Closure Rate of Diabetic Foot Ulcers (DFUs) of Neuropathic Topical Daily Application of Trafermin 0.01% Spray Compared With Placebo, in Addition, Wound closure is defined as 100% reepithelialization of the target DFU, without exudate., 12 weeks"",""Relative Wound Area Regression of 40% or More at 6 Week, The incidence of wound area regression of at least 40% at week 6 was considered as an important exploratory secondary efficacy variable. The wound area regression was calculated as percentage change from inclusion at week 6 using centralized wound area data., 6 weeks"",";;;;;;;;;;;;
